SeasonType	Season	Week	Date	AwayTeam	HomeTeam	Channel	PointSpread	OverUnder	StadiumID	Canceled	GeoLat	GeoLong	ForecastTempLow	ForecastTempHigh	ForecastDescription	ForecastWindChill	ForecastWindSpeed	AwayTeamMoneyLine	HomeTeamMoneyLine
1	2016	1	9/8/2016 8:30:00 PM	CAR	DEN		3.0	40.5	13	False	39.743936	-105.020097	56	89	Sunny	82	4	-155	135
1	2016	1	9/11/2016 1:00:00 PM	GB	JAX		3.5	47.0	10	False	30.323813	-81.637199	74	92	Partly Cloudy	73	7	-200	160
1	2016	1	9/11/2016 1:00:00 PM	BUF	BAL		-3.0	44.5	7	False	39.277985	-76.622788	65	81	Mostly Sunny	77	14	130	-150
1	2016	1	9/11/2016 1:00:00 PM	CHI	HOU		-6.0	42.5	11	False	29.684543	-95.410932	74	87	Thunderstorms	73	11	220	-270
1	2016	1	9/11/2016 1:00:00 PM	CLE	PHI		-4.0	41.5	18	False	39.900771	-75.167469	71	86	Thunderstorms	79	18	163	-200
1	2016	1	9/11/2016 1:00:00 PM	TB	ATL		-2.5	46.5	25	False	33.757614	-84.400972	72	89	Thunderstorms	73	11	115	-135
1	2016	1	9/11/2016 1:00:00 PM	MIN	TEN		2.5	40.5	12	False	36.166441	-86.771253	62	82	Mostly Sunny	63	7	-145	125
1	2016	1	9/11/2016 1:00:00 PM	CIN	NYJ		1.0	42.0	3	False	40.813611	-74.074444	70	83	Thunderstorms	79	14	-115	-105
1	2016	1	9/11/2016 1:00:00 PM	OAK	NO		-3.0	50.5	27	False	29.950931	-90.081364	78	88	Thunderstorms	77	7	130	-150
1	2016	1	9/11/2016 1:00:00 PM	SD	KC		-6.5	45.5	15	False	39.049002	-94.483864	57	77	Sunny	61	7	250	-300
1	2016	1	9/11/2016 4:05:00 PM	MIA	SEA		-10.5	44.0	31	False	47.595153	-122.331625	57	66	Partly Cloudy	59	11	375	-500
1	2016	1	9/11/2016 4:25:00 PM	DET	IND		-2.5	51.0	9	False	39.760056	-86.163806	58	74	Sunny	57	7	120	-141
1	2016	1	9/11/2016 4:25:00 PM	NYG	DAL		1.0	48.0	17	False	32.747778	-97.092778	65	87	Sunny	64	7	-120	100
1	2016	1	9/11/2016 8:30:00 PM	NE	ARI		-9.5	44.5	29	False	33.527558	-112.263036	80	104	Sunny	100	14	320	-400
1	2016	1	9/12/2016 7:10:00 PM	PIT	WAS		2.5	49.0	19	False	38.907652	-76.864479	65	82	Mostly Sunny	64	11	-140	120
1	2016	1	9/12/2016 10:20:00 PM	LA	SF		2.5	43.0	37	False	37.404108	-121.970274	55	72	Partly Cloudy	66	14	-145	125
1	2016	2	9/15/2016 8:25:00 PM	NYJ	BUF		-1.0	40.5	1	False	42.773758	-78.786837	51	71	Mostly Sunny	46	11	-105	-115
1	2016	2	9/18/2016 1:00:00 PM	CIN	PIT		-3.5	48.5	8	False	40.446751	-80.015707	67	74	Scattered Thunderstorms	0	0	155	-175
1	2016	2	9/18/2016 1:00:00 PM	TEN	DET		-6.0	47.5	21	False	42.340021	-83.045777	61	76	Partly Cloudy	0	0	220	-260
1	2016	2	9/18/2016 1:00:00 PM	BAL	CLE		6.5	42.5	6	False	41.505885	-81.699458	70	77	Scattered Thunderstorms	0	0	-260	210
1	2016	2	9/18/2016 1:00:00 PM	DAL	WAS		-3.0	45.5	19	False	38.907652	-76.864479	70	89	Rain	0	0	130	-150
1	2016	2	9/18/2016 1:00:00 PM	NO	NYG		-4.5	53.5	3	False	40.813611	-74.074444	69	81	Scattered Thunderstorms	0	0	175	-210
1	2016	2	9/18/2016 1:00:00 PM	SF	CAR		-13.5	45.5	26	False	35.225808	-80.852861	70	88	Partly Cloudy	0	0	550	-800
1	2016	2	9/18/2016 1:00:00 PM	MIA	NE		-6.5	42.5	4	False	42.090866	-71.264244	61	74	Scattered Thunderstorms	0	0	245	-305
1	2016	2	9/18/2016 1:00:00 PM	KC	HOU		-2.5	43.0	11	False	29.684543	-95.410932	76	87	Thunderstorms	0	0	115	-135
1	2016	2	9/18/2016 4:05:00 PM	SEA	LA		7.0	38.0	38	False	38.632975	-90.188547	64	85	Sunny	0	0	-280	240
