Key	City	Name	Conference	Division	FullName	StadiumID	ByeWeek	AverageDraftPosition	AverageDraftPositionPPR	HeadCoach	OffensiveCoordinator	DefensiveCoordinator	SpecialTeamsCoach	OffensiveScheme	DefensiveScheme	UpcomingSalary	UpcomingOpponent	UpcomingOpponentRank	UpcomingOpponentPositionRank	UpcomingFanDuelSalary	UpcomingDraftKingsSalary	UpcomingYahooSalary
ARI	Arizona	Cardinals	NFC	West	Arizona Cardinals	29	9		114.10	Bruce Arians	James Bettcher	Harold Goodwin	Amos Jones	2TE	3-4	3500	TB	5	5	4800	3500	17
ATL	Atlanta	Falcons	NFC	South	Atlanta Falcons	25	11		795.00	Dan Quinn	Richard Smith	Kyle Shanahan	Keith Armstrong	3WR	4-3	2300	OAK	1	1	4100	2300	10
BAL	Baltimore	Ravens	AFC	North	Baltimore Ravens	7	8		792.00	John Harbaugh	Dean Pees	Marc Trestman	Jerry Rosburg	2TE	3-4	3000	CLE	29	29	4500	3000	13
BUF	Buffalo	Bills	AFC	East	Buffalo Bills	1	10		786.00	Rex Ryan	Dennis Thurman	Greg Roman	Danny Crossman	3WR	4-3	2900	ARI	12	12			
CAR	Carolina	Panthers	NFC	South	Carolina Panthers	26	7		116.70	Ron Rivera	Sean McDermott	Mike Shula	Bruce DeHaven	PRO	4-3	3900	SF	5	5	5300	3900	18
CHI	Chicago	Bears	NFC	North	Chicago Bears	20	9		791.00	John Fox	Vic Fangio	Dowell Loggains	Jeff Rodgers	3WR	3-4	2900	PHI	10	10	4400	2900	12
CIN	Cincinnati	Bengals	AFC	North	Cincinnati Bengals	5	9		159.10	Marvin Lewis	Paul Guenther	Ken Zampese	Darrin Simmons	2TE	4-3	2800	PIT	3	3	4400	2800	14
CLE	Cleveland	Browns	AFC	North	Cleveland Browns	6	13		798.00	Hue Jackson	Ray Horton	Pep Hamilton	Chris Tabor	3WR	3-4	2500	BAL	28	28	4100	2500	11
DAL	Dallas	Cowboys	NFC	East	Dallas Cowboys	17	7		800.00	Jason Garrett	Rod Marinelli	Scott Linehan	Rich Bisaccia	2TE	4-3	2400	WAS	23	23	4500	2400	10
DEN	Denver	Broncos	AFC	West	Denver Broncos	13	11		96.80	Gary Kubiak	Wade Phillips	Rick Dennison	Joe DeCamillis	3WR	3-4	3600	IND	4	4	4700	3600	17
DET	Detroit	Lions	NFC	North	Detroit Lions	21	10		794.00	Jim Caldwell	Teryl Austin	Jim Bob Cooter	John Bonamego	2TE	4-3	2800	TEN	32	32	4400	2800	13
GB	Green Bay	Packers	NFC	North	Green Bay Packers	22	4		163.20	Mike McCarthy	Dom Capers	Edgar Bennett	Ron Zook	3WR	3-4	3200	MIN	14	14	4400	3200	15
HOU	Houston	Texans	AFC	South	Houston Texans	11	9		125.90	Bill O'Brien	Romeo Crennel	George Godsey	Larry Izzo	3WR	3-4	3400	KC	14	14	4900	3400	18
IND	Indianapolis	Colts	AFC	South	Indianapolis Colts	9	10		793.00	Chuck Pagano	Ted Monachino	Rob Chudzinski	Tom McMahon	3WR	3-4	2700	DEN	24	24	4300	2700	16
JAX	Jacksonville	Jaguars	AFC	South	Jacksonville Jaguars	10	5		784.00	Gus Bradley	Todd Wash	Greg Olson	Mike Mallory	2TE	4-3	2300	SD	5	5	4300	2300	14
KC	Kansas City	Chiefs	AFC	West	Kansas City Chiefs	15	5		781.00	Andy Reid	Bob Sutton	Brad Childress & Matt Nagy	Dave Toub	PRO	3-4	3200	HOU	14	14	4700	3200	17
LA	Los Angeles	Rams	NFC	West	Los Angeles Rams	38	8		155.90	Jeff Fisher	Gregg Williams	Rob Boras	John Fassel	2TE	4-3	3300	SEA	29	29	4300	3300	16
MIA	Miami	Dolphins	AFC	East	Miami Dolphins	2	8		788.00	Adam Gase	Vance Joseph	Clyde Christensen	Darren Rizzi	3WR	4-3	2500	NE	21	21	4300	2500	12
MIN	Minnesota	Vikings	NFC	North	Minnesota Vikings	36	6		778.00	Mike Zimmer	George Edwards	Norv Turner	Mike Priefer	3WR	4-3	3400	GB	5	5	4400	3400	16
NE	New England	Patriots	AFC	East	New England Patriots	4	9		782.00	Bill Belichick	Matt Patricia	Josh McDaniels	Joe Judge	3WR	4-3	3000	MIA	26	26	4500	3000	14
NO	New Orleans	Saints	NFC	South	New Orleans Saints	27	5		797.00	Sean Payton	Dennis Allen	Pete Carmichael	Greg McMahon	3WR	4-3	2300	NYG	19	19	4200	2300	10
NYG	New York	Giants	NFC	East	New York Giants	3	8		789.00	Ben  McAdoo	Steve Spagnulo	Mike Sullivan	Tom Quinn	3WR	4-3	2600	NO	10	10	4300	2600	11
NYJ	New York	Jets	AFC	East	New York Jets	3	11		783.00	Todd Bowles	Kacy Rodgers	Chan Gailey	Brant Boyer	3WR	3-4	3400	KC	14	14			
OAK	Oakland	Raiders	AFC	West	Oakland Raiders	16	10		164.30	Jack Del Rio	Ken Norton Jr	Bill Musgrave	Brad Seely	PRO	4-3	2700	ATL	12	12	4500	2700	15
PHI	Philadelphia	Eagles	NFC	East	Philadelphia Eagles	18	4		779.00	Doug Pederson	Jim Schwartz	Frank Reich	Dave Fipp	3WR	4-3	3300	CHI	24	24	4800	3300	16
PIT	Pittsburgh	Steelers	AFC	North	Pittsburgh Steelers	8	8		780.00	Mike Tomlin	Keith Butler	Todd Haley	Danny Smith	2TE	3-4	2900	CIN	26	26	4600	2900	15
SD	San Diego	Chargers	AFC	West	San Diego Chargers	14	11		790.00	Mike McCoy	John Pagano	Ken Whisenhunt	Craig Aukerman	3WR	3-4	2500	JAX	19	19	4000	2500	13
SEA	Seattle	Seahawks	NFC	West	Seattle Seahawks	31	5		103.40	Pete Carroll	Kris Richard	Darrell Bevell	Brian Schneider	2TE	4-3	3800	LA	31	31	5200	3800	18
SF	San Francisco	49ers	NFC	West	San Francisco 49ers	37	8		799.00	Chip Kelly	Jim O'Neil	Curtis Modkins	Derius Swinton	3WR	3-4	2400	CAR	21	21	4000	2400	10
TB	Tampa Bay	Buccaneers	NFC	South	Tampa Bay Buccaneers	24	6		785.00	Dirk Koetter	Mike Smith	Todd Monken	Nate Kaczor	2TE	4-3	2200	ARI	12	12	4300	2200	11
