Date	SeasonType	Season	Week	Team	Opponent	HomeOrAway	Score	OpponentScore	TotalScore	Stadium	PlayingSurface	Temperature	Humidity	WindSpeed	OverUnder	PointSpread	ScoreQuarter1	ScoreQuarter2	ScoreQuarter3	ScoreQuarter4	ScoreOvertime	TimeOfPossessionMinutes	TimeOfPossessionSeconds	TimeOfPossession	FirstDowns	FirstDownsByRushing	FirstDownsByPassing	FirstDownsByPenalty	OffensivePlays	OffensiveYards	OffensiveYardsPerPlay	Touchdowns	RushingAttempts	RushingYards	RushingYardsPerAttempt	RushingTouchdowns	PassingAttempts	PassingCompletions	PassingYards	PassingTouchdowns	PassingInterceptions	PassingYardsPerAttempt	PassingYardsPerCompletion	CompletionPercentage	PasserRating	ThirdDownAttempts	ThirdDownConversions	ThirdDownPercentage	FourthDownAttempts	FourthDownConversions	FourthDownPercentage	RedZoneAttempts	RedZoneConversions	GoalToGoAttempts	GoalToGoConversions	ReturnYards	Penalties	PenaltyYards	Fumbles	FumblesLost	TimesSacked	TimesSackedYards	QuarterbackHits	TacklesForLoss	Safeties	Punts	PuntYards	PuntAverage	Giveaways	Takeaways	TurnoverDifferential	OpponentScoreQuarter1	OpponentScoreQuarter2	OpponentScoreQuarter3	OpponentScoreQuarter4	OpponentScoreOvertime	OpponentTimeOfPossessionMinutes	OpponentTimeOfPossessionSeconds	OpponentTimeOfPossession	OpponentFirstDowns	OpponentFirstDownsByRushing	OpponentFirstDownsByPassing	OpponentFirstDownsByPenalty	OpponentOffensivePlays	OpponentOffensiveYards	OpponentOffensiveYardsPerPlay	OpponentTouchdowns	OpponentRushingAttempts	OpponentRushingYards	OpponentRushingYardsPerAttempt	OpponentRushingTouchdowns	OpponentPassingAttempts	OpponentPassingCompletions	OpponentPassingYards	OpponentPassingTouchdowns	OpponentPassingInterceptions	OpponentPassingYardsPerAttempt	OpponentPassingYardsPerCompletion	OpponentCompletionPercentage	OpponentPasserRating	OpponentThirdDownAttempts	OpponentThirdDownConversions	OpponentThirdDownPercentage	OpponentFourthDownAttempts	OpponentFourthDownConversions	OpponentFourthDownPercentage	OpponentRedZoneAttempts	OpponentRedZoneConversions	OpponentGoalToGoAttempts	OpponentGoalToGoConversions	OpponentReturnYards	OpponentPenalties	OpponentPenaltyYards	OpponentFumbles	OpponentFumblesLost	OpponentTimesSacked	OpponentTimesSackedYards	OpponentQuarterbackHits	OpponentTacklesForLoss	OpponentSafeties	OpponentPunts	OpponentPuntYards	OpponentPuntAverage	OpponentGiveaways	OpponentTakeaways	OpponentTurnoverDifferential	RedZonePercentage	GoalToGoPercentage	QuarterbackHitsDifferential	TacklesForLossDifferential	QuarterbackSacksDifferential	TacklesForLossPercentage	QuarterbackHitsPercentage	TimesSackedPercentage	OpponentRedZonePercentage	OpponentGoalToGoPercentage	OpponentQuarterbackHitsDifferential	OpponentTacklesForLossDifferential	OpponentQuarterbackSacksDifferential	OpponentTacklesForLossPercentage	OpponentQuarterbackHitsPercentage	OpponentTimesSackedPercentage	Kickoffs	KickoffsInEndZone	KickoffTouchbacks	PuntsHadBlocked	PuntNetAverage	ExtraPointKickingAttempts	ExtraPointKickingConversions	ExtraPointsHadBlocked	ExtraPointPassingAttempts	ExtraPointPassingConversions	ExtraPointRushingAttempts	ExtraPointRushingConversions	FieldGoalAttempts	FieldGoalsMade	FieldGoalsHadBlocked	PuntReturns	PuntReturnYards	KickReturns	KickReturnYards	InterceptionReturns	InterceptionReturnYards	OpponentKickoffs	OpponentKickoffsInEndZone	OpponentKickoffTouchbacks	OpponentPuntsHadBlocked	OpponentPuntNetAverage	OpponentExtraPointKickingAttempts	OpponentExtraPointKickingConversions	OpponentExtraPointsHadBlocked	OpponentExtraPointPassingAttempts	OpponentExtraPointPassingConversions	OpponentExtraPointRushingAttempts	OpponentExtraPointRushingConversions	OpponentFieldGoalAttempts	OpponentFieldGoalsMade	OpponentFieldGoalsHadBlocked	OpponentPuntReturns	OpponentPuntReturnYards	OpponentKickReturns	OpponentKickReturnYards	OpponentInterceptionReturns	OpponentInterceptionReturnYards	SoloTackles	AssistedTackles	Sacks	SackYards	PassesDefended	FumblesForced	FumblesRecovered	FumbleReturnYards	FumbleReturnTouchdowns	InterceptionReturnTouchdowns	BlockedKicks	PuntReturnTouchdowns	PuntReturnLong	KickReturnTouchdowns	KickReturnLong	BlockedKickReturnYards	BlockedKickReturnTouchdowns	FieldGoalReturnYards	FieldGoalReturnTouchdowns	PuntNetYards	OpponentSoloTackles	OpponentAssistedTackles	OpponentSacks	OpponentSackYards	OpponentPassesDefended	OpponentFumblesForced	OpponentFumblesRecovered	OpponentFumbleReturnYards	OpponentFumbleReturnTouchdowns	OpponentInterceptionReturnTouchdowns	OpponentBlockedKicks	OpponentPuntReturnTouchdowns	OpponentPuntReturnLong	OpponentKickReturnTouchdowns	OpponentKickReturnLong	OpponentBlockedKickReturnYards	OpponentBlockedKickReturnTouchdowns	OpponentFieldGoalReturnYards	OpponentFieldGoalReturnTouchdowns	OpponentPuntNetYards	TeamName	DayOfWeek	PassingDropbacks	OpponentPassingDropbacks	TwoPointConversionReturns	OpponentTwoPointConversionReturns
9/8/2016 8:30:00 PM	1	2016	1	CAR	DEN	AWAY	20	21	41	Sports Authority Field at Mile High	Grass	85	12	10	40.5	-3.0	7	10	0	3	0	32	19	32:19	21	8	12	1	68	333	4.9	2	32	157	4.9	1	33	18	176	1	1	5.3	9.8	54.5	67.23	15	9	60.0	0	0	0	3	2	1	1	17	8	85	0	0	3	18	0	5	0	4	252	63	1	3	2	0	7	0	14	0	27	41	27:41	21	9	11	1	57	307	5.4	3	29	148	5.1	2	26	18	159	1	2	6.1	8.8	69.2	66.03	10	5	50.0	1	1	100	2	1	1	1	26	4	22	1	1	2	19	0	2	0	3	140	46.7	3	1	-2	66.7	100	0	3	-1	17.2	0	8.3	50.0	100	0	-3	1	6.2	0	7.1	5	5	5	0	46.5	2	2	0	0	0	0	0	3	2	0	2	12	1	9	2	5	4	3	3	0	42.7	3	3	0	0	0	0	0	0	0	0	2	26	0	0	1	0	43	2	2	19	6	1	1	0	0	0	0	0	8	0	9	0	0	0	0	186	51	4	3	18	6	0	0	0	0	0	0	0	15	0	0	0	0	0	0	128	Panthers	Thursday	36	28	0	0
9/8/2016 8:30:00 PM	1	2016	1	DEN	CAR	HOME	21	20	41	Sports Authority Field at Mile High	Grass	85	12	10	40.5	3.0	0	7	0	14	0	27	41	27:41	21	9	11	1	57	307	5.4	3	29	148	5.1	2	26	18	159	1	2	6.1	8.8	69.2	66.03	10	5	50.0	1	1	100	2	1	1	1	26	4	22	1	1	2	19	0	2	0	3	140	46.7	3	1	-2	7	10	0	3	0	32	19	32:19	21	8	12	1	68	333	4.9	2	32	157	4.9	1	33	18	176	1	1	5.3	9.8	54.5	67.23	15	9	60.0	0	0	0	3	2	1	1	17	8	85	0	0	3	18	0	5	0	4	252	63	1	3	2	50.0	100	0	-3	1	6.2	0	7.1	66.7	100	0	3	-1	17.2	0	8.3	4	3	3	0	42.7	3	3	0	0	0	0	0	0	0	0	2	26	0	0	1	0	5	5	5	0	46.5	2	2	0	0	0	0	0	3	2	0	2	12	1	9	2	5	51	4	3	18	6	0	0	0	0	0	0	0	15	0	0	0	0	0	0	128	43	2	2	19	6	1	1	0	0	0	0	0	8	0	9	0	0	0	0	186	Broncos	Thursday	28	36	0	0
9/11/2016 1:00:00 PM	1	2016	1	GB	JAX	AWAY	27	23	50	EverBank Field	Artificial	90	55	3	47.0	-3.5	7	14	3	3	0	28	37	28:37	18	6	10	2	60	294	4.9	3	25	95	3.8	1	34	20	199	2	0	5.9	10.0	58.8	95.10	14	7	50.0	1	1	100	4	2	2	0	9	5	24	1	0	1	0	0	10	0	4	184	46	0	1	1	7	10	3	3	0	31	23	31:23	20	4	14	2	68	348	5.1	2	26	48	1.8	1	39	24	300	1	1	7.7	12.5	61.5	83.28	15	4	26.7	4	3	75.0	3	1	0	0	14	9	79	1	0	3	20	0	3	0	2	125	62.5	1	0	-1	50.0	0	0	7	2	38.5	0	2.9	33.3	0	0	-7	-2	12.0	0	7.1	6	6	4	0	42.5	3	3	0	0	0	0	0	2	2	0	0	0	1	14	1	9	6	5	5	0	62.5	2	2	0	0	0	0	0	3	3	0	1	14	2	51	0	0	52	4	3	20	7	1	0	0	0	0	0	0	0	0	14	0	0	0	0	170	40	8	1	0	1	1	0	0	0	0	0	0	14	0	32	0	0	0	0	125	Packers	Sunday	35	42	0	0
9/11/2016 1:00:00 PM	1	2016	1	JAX	GB	HOME	23	27	50	EverBank Field	Artificial	90	55	3	47.0	3.5	7	10	3	3	0	31	23	31:23	20	4	14	2	68	348	5.1	2	26	48	1.8	1	39	24	300	1	1	7.7	12.5	61.5	83.28	15	4	26.7	4	3	75.0	3	1	0	0	14	9	79	1	0	3	20	0	3	0	2	125	62.5	1	0	-1	7	14	3	3	0	28	37	28:37	18	6	10	2	60	294	4.9	3	25	95	3.8	1	34	20	199	2	0	5.9	10.0	58.8	95.10	14	7	50.0	1	1	100	4	2	2	0	9	5	24	1	0	1	0	0	10	0	4	184	46	0	1	1	33.3	0	0	-7	-2	12.0	0	7.1	50.0	0	0	7	2	38.5	0	2.9	6	5	5	0	62.5	2	2	0	0	0	0	0	3	3	0	1	14	2	51	0	0	6	6	4	0	42.5	3	3	0	0	0	0	0	2	2	0	0	0	1	14	1	9	40	8	1	0	1	1	0	0	0	0	0	0	14	0	32	0	0	0	0	125	52	4	3	20	7	1	0	0	0	0	0	0	0	0	14	0	0	0	0	170	Jaguars	Sunday	42	35	0	0
9/11/2016 1:00:00 PM	1	2016	1	BUF	BAL	AWAY	7	13	20	M&T Bank Stadium	Artificial	84	44	8	44.5	3.0	0	7	0	0	0	27	7	27:7	11	5	5	1	48	160	3.3	1	24	65	2.7	1	22	15	95	0	0	4.3	6.3	68.2	76.89	13	3	23.1	2	2	100	1	1	1	1	21	8	89	0	0	2	16	0	6	0	7	313	44.7	0	1	1	3	7	0	3	0	32	53	32:53	18	4	11	3	66	308	4.7	1	28	83	3.0	0	34	23	225	1	0	6.6	9.8	67.6	95.83	15	6	40.0	1	0	0	1	0	0	0	1	6	35	1	1	4	33	0	8	0	3	128	42.7	1	0	-1	100	100	0	-2	2	21.4	0	8.3	0	0	0	2	-2	33.3	0	10.5	2	2	0	0	41.7	1	1	0	0	0	0	0	1	0	0	1	21	1	13	0	0	4	3	3	0	35.7	1	1	0	0	0	0	0	2	2	0	2	1	2	37	0	0	42	20	4	33	3	0	1	0	0	0	0	0	21	0	13	0	0	0	0	292	36	6	2	16	2	0	0	-2	0	0	0	0	8	0	23	0	0	0	0	107	Bills	Sunday	24	38	0	0
9/11/2016 1:00:00 PM	1	2016	1	BAL	BUF	HOME	13	7	20	M&T Bank Stadium	Artificial	84	44	8	44.5	-3.0	3	7	0	3	0	32	53	32:53	18	4	11	3	66	308	4.7	1	28	83	3.0	0	34	23	225	1	0	6.6	9.8	67.6	95.83	15	6	40.0	1	0	0	1	0	0	0	1	6	35	1	1	4	33	0	8	0	3	128	42.7	1	0	-1	0	7	0	0	0	27	7	27:7	11	5	5	1	48	160	3.3	1	24	65	2.7	1	22	15	95	0	0	4.3	6.3	68.2	76.89	13	3	23.1	2	2	100	1	1	1	1	21	8	89	0	0	2	16	0	6	0	7	313	44.7	0	1	1	0	0	0	2	-2	33.3	0	10.5	100	100	0	-2	2	21.4	0	8.3	4	3	3	0	35.7	1	1	0	0	0	0	0	2	2	0	2	1	2	37	0	0	2	2	0	0	41.7	1	1	0	0	0	0	0	1	0	0	1	21	1	13	0	0	36	6	2	16	2	0	0	-2	0	0	0	0	8	0	23	0	0	0	0	107	42	20	4	33	3	0	1	0	0	0	0	0	21	0	13	0	0	0	0	292	Ravens	Sunday	38	24	0	0
9/11/2016 1:00:00 PM	1	2016	1	CHI	HOU	AWAY	14	23	37	Reliant Stadium	Dome	84	61	3	42.5	5.5	7	7	0	0	0	23	41	23:41	14	3	10	1	54	258	4.8	2	20	73	3.6	1	29	16	185	1	1	6.4	11.6	55.2	71.77	13	4	30.8	2	0	0	2	2	1	1	43	4	30	2	0	5	31	0	3	0	7	296	42.3	1	1	0	0	10	3	10	0	36	19	36:19	17	5	12	0	72	344	4.8	2	35	129	3.7	0	35	22	215	2	1	6.1	9.8	62.9	87.20	20	12	60.0	0	0	0	3	1	2	0	41	6	69	1	0	2	16	0	8	0	5	243	48.6	1	1	0	100	100	0	-5	-3	8.6	0	14.7	33.3	0	0	5	3	40.0	0	5.4	3	2	0	0	38.1	2	2	0	0	0	0	0	0	0	0	4	40	5	103	1	3	6	3	1	0	40.6	2	2	0	0	0	0	0	3	3	0	3	29	3	73	1	12	53	27	2	16	4	1	0	0	0	0	0	0	31	0	26	0	0	0	0	267	46	13	5	31	4	1	0	0	0	0	0	0	13	0	28	0	0	0	0	203	Bears	Sunday	34	37	0	0
9/11/2016 1:00:00 PM	1	2016	1	HOU	CHI	HOME	23	14	37	Reliant Stadium	Dome	84	61	3	42.5	-5.5	0	10	3	10	0	36	19	36:19	17	5	12	0	72	344	4.8	2	35	129	3.7	0	35	22	215	2	1	6.1	9.8	62.9	87.20	20	12	60.0	0	0	0	3	1	2	0	41	6	69	1	0	2	16	0	8	0	5	243	48.6	1	1	0	7	7	0	0	0	23	41	23:41	14	3	10	1	54	258	4.8	2	20	73	3.6	1	29	16	185	1	1	6.4	11.6	55.2	71.77	13	4	30.8	2	0	0	2	2	1	1	43	4	30	2	0	5	31	0	3	0	7	296	42.3	1	1	0	33.3	0	0	5	3	40.0	0	5.4	100	100	0	-5	-3	8.6	0	14.7	6	3	1	0	40.6	2	2	0	0	0	0	0	3	3	0	3	29	3	73	1	12	3	2	0	0	38.1	2	2	0	0	0	0	0	0	0	0	4	40	5	103	1	3	46	13	5	31	4	1	0	0	0	0	0	0	13	0	28	0	0	0	0	203	53	27	2	16	4	1	0	0	0	0	0	0	31	0	26	0	0	0	0	267	Texans	Sunday	37	34	0	0
9/11/2016 1:00:00 PM	1	2016	1	CLE	PHI	AWAY	10	29	39	Lincoln Financial Field	Grass	85	42	14	41.0	4.0	0	7	3	0	0	20	40	20:40	14	6	7	1	50	288	5.8	1	21	120	5.7	1	26	12	168	0	1	6.5	14	46.2	51.44	10	2	20.0	2	0	0	2	1	1	1	0	4	15	2	0	3	22	0	3	0	5	251	50.2	1	0	-1	7	6	9	7	0	39	20	39:20	23	7	14	2	73	403	5.5	3	34	133	3.9	1	37	22	270	2	0	7.3	12.3	59.5	100.06	15	5	33.3	1	1	100	4	2	2	1	64	7	46	2	0	2	8	0	5	1	6	295	49.2	0	1	1	50.0	100	0	-2	-1	8.8	0	10.3	50.0	50.0	0	2	1	23.8	0	5.1	4	3	2	0	38.4	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	6	6	6	0	39.2	3	3	0	0	0	0	0	3	2	0	4	59	2	42	1	5	56	6	2	8	4	0	0	-15	0	0	0	0	0	0	0	0	0	0	0	192	29	4	3	22	2	1	0	-6	0	0	0	0	40	0	23	0	0	0	0	235	Browns	Sunday	29	39	0	0
9/11/2016 1:00:00 PM	1	2016	1	PHI	CLE	HOME	29	10	39	Lincoln Financial Field	Grass	85	42	14	41.0	-4.0	7	6	9	7	0	39	20	39:20	23	7	14	2	73	403	5.5	3	34	133	3.9	1	37	22	270	2	0	7.3	12.3	59.5	100.06	15	5	33.3	1	1	100	4	2	2	1	64	7	46	2	0	2	8	0	5	1	6	295	49.2	0	1	1	0	7	3	0	0	20	40	20:40	14	6	7	1	50	288	5.8	1	21	120	5.7	1	26	12	168	0	1	6.5	14	46.2	51.44	10	2	20.0	2	0	0	2	1	1	1	0	4	15	2	0	3	22	0	3	0	5	251	50.2	1	0	-1	50.0	50.0	0	2	1	23.8	0	5.1	50.0	100	0	-2	-1	8.8	0	10.3	6	6	6	0	39.2	3	3	0	0	0	0	0	3	2	0	4	59	2	42	1	5	4	3	2	0	38.4	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	29	4	3	22	2	1	0	-6	0	0	0	0	40	0	23	0	0	0	0	235	56	6	2	8	4	0	0	-15	0	0	0	0	0	0	0	0	0	0	0	192	Eagles	Sunday	39	29	0	0
