SeasonType,Season,Team,Score,OpponentScore,TotalScore,Temperature,Humidity,WindSpeed,OverUnder,PointSpread,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,ReturnYards,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Safeties,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentReturnYards,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentSafeties,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,QuarterbackHitsDifferential,TacklesForLossDifferential,QuarterbackSacksDifferential,TacklesForLossPercentage,QuarterbackHitsPercentage,TimesSackedPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,OpponentQuarterbackHitsDifferential,OpponentTacklesForLossDifferential,OpponentQuarterbackSacksDifferential,OpponentTacklesForLossPercentage,OpponentQuarterbackHitsPercentage,OpponentTimesSackedPercentage,Kickoffs,KickoffsInEndZone,KickoffTouchbacks,PuntsHadBlocked,PuntNetAverage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,FieldGoalsHadBlocked,PuntReturns,PuntReturnYards,KickReturns,KickReturnYards,InterceptionReturns,InterceptionReturnYards,OpponentKickoffs,OpponentKickoffsInEndZone,OpponentKickoffTouchbacks,OpponentPuntsHadBlocked,OpponentPuntNetAverage,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,OpponentFieldGoalsHadBlocked,OpponentPuntReturns,OpponentPuntReturnYards,OpponentKickReturns,OpponentKickReturnYards,OpponentInterceptionReturns,OpponentInterceptionReturnYards,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnYards,FumbleReturnTouchdowns,InterceptionReturnTouchdowns,BlockedKicks,PuntReturnTouchdowns,PuntReturnLong,KickReturnTouchdowns,KickReturnLong,BlockedKickReturnYards,BlockedKickReturnTouchdowns,FieldGoalReturnYards,FieldGoalReturnTouchdowns,PuntNetYards,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,OpponentFumbleReturnYards,OpponentFumbleReturnTouchdowns,OpponentInterceptionReturnTouchdowns,OpponentBlockedKicks,OpponentPuntReturnTouchdowns,OpponentPuntReturnLong,OpponentKickReturnTouchdowns,OpponentKickReturnLong,OpponentBlockedKickReturnYards,OpponentBlockedKickReturnTouchdowns,OpponentFieldGoalReturnYards,OpponentFieldGoalReturnTouchdowns,OpponentPuntNetYards,TeamName,Games,PassingDropbacks,OpponentPassingDropbacks,TwoPointConversionReturns,OpponentTwoPointConversionReturns
1,2016,ARI,21,23,44,70,50,0,44.0,-9.5,0,7,7,7,0,26:1,21,6,14,1,59,344,5.8,3,19,92,4.8,1,37,24,252,2,0,6.8,10.5,64.9,102.53,12,6,50.0,0,0,0,3,3,3,3,8,6,58,1,0,3,19,0,6,0,5,180,36,0,2,2,10,0,7,6,0,33:59,19,7,11,1,66,363,5.5,2,31,106,3.4,1,33,24,257,1,0,7.8,10.7,72.7,105.24,16,10,62.5,0,0,0,2,1,1,1,18,8,69,3,2,2,7,0,6,0,2,89,44.5,2,0,-2,100,100,0,0,-1,19.4,0,7.5,50.0,100,0,0,1,31.6,0,5.7,4,4,3,0,32.4,3,3,0,0,0,0,0,1,0,0,1,8,4,61,0,0,6,4,2,0,40.5,2,2,0,0,0,0,0,3,3,0,2,18,1,26,0,0,53,9,2,7,1,2,2,-2,0,0,0,0,8,0,21,0,0,0,0,162,44,10,3,19,6,0,0,-2,0,0,0,0,10,0,26,0,0,0,0,81,Cardinals,1,40,35,0,0
1,2016,ATL,24,31,55,70,50,0,47.0,-2.5,10,3,8,3,0,32:23,19,2,16,1,64,374,5.8,2,22,52,2.4,0,39,27,322,2,0,8.3,11.9,69.2,111.27,13,3,23.1,2,1,50.0,4,1,2,1,31,7,74,0,0,3,12,0,2,0,5,193,38.6,0,1,1,3,14,14,0,0,27:37,20,5,12,3,60,371,6.2,4,28,90,3.2,0,32,23,281,4,1,8.8,12.2,71.9,125.13,9,3,33.3,0,0,0,2,1,1,1,0,6,48,0,0,0,0,0,8,0,5,247,49.4,1,0,-1,25.0,50.0,0,-6,-3,7.1,0,7.1,50.0,100,0,6,3,36.4,0,0,6,5,5,0,38.6,1,1,0,1,1,0,0,3,3,0,2,22,3,85,1,9,6,6,3,0,45,4,4,0,0,0,0,0,1,1,0,0,0,1,12,0,0,40,14,0,0,5,0,0,0,0,0,0,0,13,0,34,0,0,0,0,193,51,10,3,12,6,0,0,0,0,0,0,0,0,0,12,0,0,0,0,225,Falcons,1,42,32,0,0
1,2016,BAL,13,7,20,84,44,8,44.5,-3.0,3,7,0,3,0,32:53,18,4,11,3,65,308,4.7,1,28,83,3.0,0,33,22,225,1,0,6.8,10.2,66.7,96.15,15,6,40.0,1,0,0,1,0,0,0,1,6,35,1,1,4,33,0,8,0,3,128,42.7,1,0,-1,0,7,0,0,0,27:7,11,5,5,1,48,160,3.3,1,24,65,2.7,1,22,15,95,0,0,4.3,6.3,68.2,76.89,13,3,23.1,2,2,100,1,1,1,1,21,8,89,0,0,2,16,0,6,0,7,313,44.7,0,1,1,0,0,0,2,-2,33.3,0,10.8,100,100,0,-2,2,21.4,0,8.3,4,3,3,0,35.7,1,1,0,0,0,0,0,2,2,0,2,1,2,37,0,0,2,2,0,0,41.7,1,1,0,0,0,0,0,1,0,0,1,21,1,13,0,0,36,6,2,16,2,0,0,-2,0,0,0,0,8,0,23,0,0,0,0,107,42,20,4,33,3,0,1,0,0,0,0,0,21,0,13,0,0,0,0,292,Ravens,1,37,24,0,0
1,2016,BUF,7,13,20,84,44,8,44.5,3.0,0,7,0,0,0,27:7,11,5,5,1,48,160,3.3,1,24,65,2.7,1,22,15,95,0,0,4.3,6.3,68.2,76.89,13,3,23.1,2,2,100,1,1,1,1,21,8,89,0,0,2,16,0,6,0,7,313,44.7,0,1,1,3,7,0,3,0,32:53,18,4,11,3,65,308,4.7,1,28,83,3.0,0,33,22,225,1,0,6.8,10.2,66.7,96.15,15,6,40.0,1,0,0,1,0,0,0,1,6,35,1,1,4,33,0,8,0,3,128,42.7,1,0,-1,100,100,0,-2,2,21.4,0,8.3,0,0,0,2,-2,33.3,0,10.8,2,2,0,0,41.7,1,1,0,0,0,0,0,1,0,0,1,21,1,13,0,0,4,3,3,0,35.7,1,1,0,0,0,0,0,2,2,0,2,1,2,37,0,0,42,20,4,33,3,0,1,0,0,0,0,0,21,0,13,0,0,0,0,292,36,6,2,16,2,0,0,-2,0,0,0,0,8,0,23,0,0,0,0,107,Bills,1,24,37,0,0
1,2016,CAR,20,21,41,85,12,10,40.5,-3.0,7,10,0,3,0,32:19,21,8,12,1,68,333,4.9,2,32,157,4.9,1,33,18,176,1,1,5.3,9.8,54.5,67.23,15,9,60.0,0,0,0,3,2,1,1,17,8,85,0,0,3,18,3,5,0,4,252,63,1,3,2,0,7,0,14,0,27:41,21,9,11,1,57,307,5.4,3,29,148,5.1,2,26,18,159,1,2,6.1,8.8,69.2,66.03,10,5,50.0,1,1,100,2,1,1,1,26,4,22,1,1,2,19,8,2,0,3,140,46.7,3,1,-2,66.7,100,-5,3,-1,17.2,10.7,8.3,50.0,100,5,-3,1,6.2,22.2,7.1,5,5,5,0,46.5,2,2,0,0,0,0,0,3,2,0,2,12,1,9,2,5,4,3,3,0,42.7,3,3,0,0,0,0,0,0,0,0,2,26,4,0,1,0,41,2,2,19,6,1,1,0,0,0,0,0,8,0,9,0,0,0,0,186,45,4,3,18,6,0,0,0,0,0,0,0,15,0,0,0,0,0,0,128,Panthers,1,36,28,0,0
1,2016,CHI,14,23,37,84,61,3,42.5,5.5,7,7,0,0,0,23:41,14,3,10,1,54,258,4.8,2,20,73,3.6,1,29,16,185,1,1,6.4,11.6,55.2,71.77,13,4,30.8,2,0,0,2,2,1,1,43,4,30,2,0,5,31,0,3,0,7,296,42.3,1,1,0,0,10,3,10,0,36:19,17,5,12,0,72,344,4.8,2,35,129,3.7,0,35,22,215,2,1,6.1,9.8,62.9,87.20,20,12,60.0,0,0,0,3,1,2,0,41,6,69,1,0,2,16,0,8,0,5,243,48.6,1,1,0,100,100,0,-5,-3,8.6,0,14.7,33.3,0,0,5,3,40.0,0,5.4,3,2,0,0,38.1,2,2,0,0,0,0,0,0,0,0,4,40,5,103,1,3,6,3,1,0,40.6,2,2,0,0,0,0,0,3,3,0,3,29,3,73,1,12,53,27,2,16,4,1,0,0,0,0,0,0,31,0,26,0,0,0,0,267,46,13,5,31,4,1,0,0,0,0,0,0,13,0,28,0,0,0,0,203,Bears,1,34,37,0,0
1,2016,CIN,23,22,45,79,40,17,42.0,-1.0,3,10,7,3,0,25:7,18,5,11,2,56,381,6.8,2,19,57,3,1,30,23,324,1,1,10.8,14.1,76.7,108.19,11,3,27.3,0,0,0,3,1,1,0,21,5,44,0,0,7,42,0,6,0,3,144,48,1,1,0,7,9,0,6,0,34:53,22,8,11,3,66,340,5.2,2,30,152,5.1,0,35,19,188,2,1,5.4,9.9,54.3,76.85,12,4,33.3,0,0,0,5,2,3,1,25,7,95,1,0,1,1,0,9,0,3,154,51.3,1,1,0,33.3,0,0,-3,-6,20.0,0,18.9,40.0,33.3,0,3,6,47.4,0,2.8,5,5,2,0,44.3,2,2,0,0,0,0,0,4,3,0,2,21,3,50,1,0,6,5,3,0,44.3,2,1,0,0,0,0,0,4,3,1,2,11,3,110,1,14,41,28,1,1,7,0,0,0,0,0,1,0,15,0,19,0,0,0,0,133,37,17,7,42,2,0,0,-2,0,0,0,0,8,0,65,0,0,0,0,133,Bengals,1,37,36,0,0
1,2016,CLE,10,29,39,85,42,14,41.0,4.0,0,7,3,0,0,20:40,14,6,7,1,50,288,5.8,1,21,120,5.7,1,26,12,168,0,1,6.5,14,46.2,51.44,10,2,20.0,2,0,0,2,1,1,1,0,4,15,2,0,3,22,0,3,0,5,251,50.2,1,0,-1,7,6,9,7,0,39:20,23,7,14,2,73,403,5.5,3,34,133,3.9,1,37,22,270,2,0,7.3,12.3,59.5,100.06,15,5,33.3,1,1,100,4,2,2,1,64,7,46,2,0,2,8,0,5,1,6,295,49.2,0,1,1,50.0,100,0,-2,-1,8.8,0,10.3,50.0,50.0,0,2,1,23.8,0,5.1,4,3,2,0,38.4,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,6,6,0,39.2,3,3,0,0,0,0,0,3,2,0,4,59,2,42,1,5,56,6,2,8,4,0,0,-15,0,0,0,0,0,0,0,0,0,0,0,192,29,4,3,22,2,1,0,-6,0,0,0,0,40,0,23,0,0,0,0,235,Browns,1,29,39,0,0
1,2016,DAL,19,20,39,70,50,0,47.5,1.0,3,6,7,3,0,36:43,24,10,13,1,75,328,4.4,1,30,101,3.4,1,45,25,227,0,0,5.0,9.1,55.6,69.40,17,10,58.8,0,0,0,3,1,2,1,16,6,50,0,0,0,0,0,4,0,3,147,49,0,1,1,0,13,0,7,0,23:17,18,6,11,1,54,316,5.9,3,24,113,4.7,0,28,19,203,3,1,7.2,10.7,67.9,109.67,10,5,50.0,0,0,0,3,3,1,1,17,4,40,1,0,2,4,0,2,0,5,257,51.4,1,0,-1,33.3,50.0,0,2,2,16.7,0,0,100,100,0,-2,-2,6.7,0,6.7,6,6,4,0,43.3,1,1,0,0,0,0,0,4,4,0,2,16,1,21,1,0,4,3,3,0,36.2,3,2,0,0,0,0,0,0,0,0,1,17,2,46,0,0,33,26,2,4,2,1,0,0,0,0,0,0,9,0,21,0,0,0,0,130,47,25,0,0,3,0,0,4,0,0,0,0,17,0,29,0,0,0,0,181,Cowboys,1,45,30,0,0
1,2016,DEN,21,20,41,85,12,10,40.5,3.0,0,7,0,14,0,27:41,21,9,11,1,57,307,5.4,3,29,148,5.1,2,26,18,159,1,2,6.1,8.8,69.2,66.03,10,5,50.0,1,1,100,2,1,1,1,26,4,22,1,1,2,19,8,2,0,3,140,46.7,3,1,-2,7,10,0,3,0,32:19,21,8,12,1,68,333,4.9,2,32,157,4.9,1,33,18,176,1,1,5.3,9.8,54.5,67.23,15,9,60.0,0,0,0,3,2,1,1,17,8,85,0,0,3,18,3,5,0,4,252,63,1,3,2,50.0,100,5,-3,1,6.2,22.2,7.1,66.7,100,-5,3,-1,17.2,10.7,8.3,4,3,3,0,42.7,3,3,0,0,0,0,0,0,0,0,2,26,4,0,1,0,5,5,5,0,46.5,2,2,0,0,0,0,0,3,2,0,2,12,1,9,2,5,45,4,3,18,6,0,0,0,0,0,0,0,15,0,0,0,0,0,0,128,41,2,2,19,6,1,1,0,0,0,0,0,8,0,9,0,0,0,0,186,Broncos,1,28,36,0,0
